origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Parque do Carmo, São Paulo, SP, Brasil",-23.5787082,-46.458056
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Shopping Metrô Itaquera, São Paulo, SP, Brasil",-23.54076145,-46.47049279786765
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Estádio do Corinthians (NeoQuimica Arena), São Paulo, SP, Brasil",-23.5453084,-46.4791001
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Centro de Exposições Imigrantes, São Paulo, SP, Brasil",-23.64396315,-46.629504947154565
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Pico do Jaraguá, São Paulo, SP, Brasil",-23.458333,-46.765278
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Avenida Paulista, São Paulo, SP, Brasil",-23.5558612,-46.6625362
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Edifício Copan, São Paulo, SP, Brasil",-23.54659435,-46.64453306171171
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Continental Shopping, São Paulo, SP, Brasil",-23.547523,-46.7621955
"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788,"Rua Vinte e Cinco de Março, São Paulo, SP, Brasil",-23.5392837,-46.6320647
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Avenida Brigadeiro Faria Lima, São Paulo, SP, Brasil",-23.567437,-46.6931773
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque do Ibirapuera, São Paulo, SP, Brasil",-23.58771265,-46.65852139371083
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Interlagos, São Paulo, SP, Brasil",-23.6717075,-46.6778286
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Hospital das Clínicas, São Paulo, SP, Brasil",-23.557827,-46.6727323
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Center Norte, São Paulo, SP, Brasil",-23.5162851,-46.61803653103877
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque da Juventude, São Paulo, SP, Brasil",-23.50737775,-46.62177797548021
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Mercado Municipal de São Paulo, São Paulo, SP, Brasil",-23.54173325,-46.62952437380088
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Metrô Tatuapé, São Paulo, SP, Brasil",-23.541689,-46.57704635126976
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Senac Nações Unidas, São Paulo, SP, Brasil",-23.6698233,-46.7017363
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Hospital São Camilo, São Paulo, SP, Brasil",-23.5339296,-46.6931917
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Vila Maria, São Paulo, SP, Brasil",-23.5919413,-46.7600413
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Igreja Nossa Senhora do Brasil, São Paulo, SP, Brasil",-23.56946695,-46.67277716373626
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque da Água Branca, São Paulo, SP, Brasil",-23.5303306,-46.66953612685586
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Penha, São Paulo, SP, Brasil",-23.5251778,-46.54675185766971
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Museu do Futebol, São Paulo, SP, Brasil",-23.5474227,-46.6654699
